ac,ah,hri,LDSI_i0_depth,LDSI_i0_surface,LDSI_i1_depth,LDSI_i1_surface,LDSI_i2_depth,LDSI_i2_surface,LDSI_i3_depth,LDSI_i3_surface,CDSI_i0_depth,CDSI_i0_surface,CDSI_i1_depth,CDSI_i1_surface,CDSI_i2_depth,CDSI_i2_surface,CDSI_i3_depth,CDSI_i3_surface,LDSE_i0_depth,LDSE_i0_surface,LDSE_i1_depth,LDSE_i1_surface,LDSE_i2_depth,LDSE_i2_surface,LDSE_i3_depth,LDSE_i3_surface,CDSE_i0_depth,CDSE_i0_surface,CDSE_i1_depth,CDSE_i1_surface,CDSE_i2_depth,CDSE_i2_surface,CDSE_i3_depth,CDSE_i3_surface
0.0,0.0,0.9500000000000001,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0
0.0,0.0,1.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.05,0.0,1.1535000000000002,0.0,0.6945,0.0,0.5315000000000001,0.0,0.444,0.0,1.1535000000000002,0.0,0.6945,0.0,0.5315000000000001,0.0,0.444,0.0,1.1535000000000002,0.0,0.6945,0.0,0.5315000000000001,0.0,0.444,0.0,1.1535000000000002,0.0,0.6945,0.0,0.5315000000000001,0.0,0.444,0.0
0.0,0.05,0.05,1.1515,0.0,0.6935,0.0,0.531,0.0,0.444,0.0,1.1435,0.0,0.6910000000000001,0.0,0.529,0.0,0.4425,0.0,1.153,0.0,0.6945,0.0,0.5315000000000001,0.0,0.444,0.0,1.147,0.0,0.692,0.0,0.53,0.0,0.443,0.0
0.0,0.05,0.1,1.149,0.0,0.6925,0.0,0.5305,0.0,0.4435,0.0,1.1385,0.0,0.6885,0.0,0.528,0.0,0.442,0.0,1.1525,0.0,0.694,0.0,0.5315000000000001,0.0,0.444,0.0,1.145,0.0,0.6910000000000001,0.0,0.5295000000000001,0.0,0.443,0.0
0.0,0.05,0.15000000000000002,1.14675,0.0,0.6917500000000001,0.0,0.53,0.0,0.44325,0.0,1.13475,0.0,0.687,0.0,0.52725,0.0,0.4415,0.0,1.15225,0.0,0.694,0.0,0.53125,0.0,0.444,0.0,1.14425,0.0,0.69075,0.0,0.52925,0.0,0.44275000000000003,0.0
0.0,0.05,0.2,1.1445,0.0,0.6910000000000001,0.0,0.5295000000000001,0.0,0.443,0.0,1.131,0.0,0.6855,0.0,0.5265,0.0,0.441,0.0,1.1520000000000001,0.0,0.694,0.0,0.531,0.0,0.444,0.0,1.1435,0.0,0.6905,0.0,0.529,0.0,0.4425,0.0
0.0,0.05,0.25,1.1423333333333334,0.0,0.6901666666666667,0.0,0.529,0.0,0.44266666666666665,0.0,1.12825,0.0,0.6845000000000001,0.0,0.5259166666666667,0.0,0.4405833333333333,0.0,1.1518333333333335,0.0,0.6939166666666667,0.0,0.531,0.0,0.44399999999999995,0.0,1.1433333333333335,0.0,0.6903333333333334,0.0,0.5289166666666667,0.0,0.44249999999999995,0.0
0.0,0.05,0.30000000000000004,1.1401666666666668,0.0,0.6893333333333334,0.0,0.5285,0.0,0.44233333333333336,0.0,1.1255,0.0,0.6835,0.0,0.5253333333333333,0.0,0.44016666666666665,0.0,1.1516666666666666,0.0,0.6938333333333334,0.0,0.531,0.0,0.44399999999999995,0.0,1.1431666666666667,0.0,0.6901666666666666,0.0,0.5288333333333334,0.0,0.4425,0.0
0.0,0.05,0.35000000000000003,1.1380000000000001,0.0,0.6885,0.0,0.528,0.0,0.442,0.0,1.12275,0.0,0.6825,0.0,0.52475,0.0,0.43975000000000003,0.0,1.1515,0.0,0.69375,0.0,0.531,0.0,0.444,0.0,1.143,0.0,0.6900000000000001,0.0,0.52875,0.0,0.4425,0.0
