ac,ah,hri,LDSI_i0_depth,LDSI_i0_surface,LDSI_i1_depth,LDSI_i1_surface,LDSI_i2_depth,LDSI_i2_surface,LDSI_i3_depth,LDSI_i3_surface,CDSI_i0_depth,CDSI_i0_surface,CDSI_i1_depth,CDSI_i1_surface,CDSI_i2_depth,CDSI_i2_surface,CDSI_i3_depth,CDSI_i3_surface,LDSE_i0_depth,LDSE_i0_surface,LDSE_i1_depth,LDSE_i1_surface,LDSE_i2_depth,LDSE_i2_surface,LDSE_i3_depth,LDSE_i3_surface,CDSE_i0_depth,CDSE_i0_surface,CDSE_i1_depth,CDSE_i1_surface,CDSE_i2_depth,CDSE_i2_surface,CDSE_i3_depth,CDSE_i3_surface
0.0,0.2,0.1,1.338,0.0,0.767,0.0,0.572,0.0,0.471,0.0,1.255,0.0,0.735,0.0,0.554,0.0,0.459,0.0,1.344,0.0,0.769,0.0,0.573,0.0,0.472,0.0,1.284,0.0,0.745,0.0,0.559,0.0,0.463,0.0
0.0,0.2,0.2,1.312,0.0,0.757,0.0,0.566,0.0,0.467,0.0,1.211,0.0,0.718,0.0,0.544,0.0,0.453,0.0,1.329,0.0,0.763,0.0,0.57,0.0,0.47,0.0,1.264,0.0,0.737,0.0,0.555,0.0,0.459,0.0
0.0,0.2,0.5,1.243,0.0,0.73,0.0,0.551,0.0,0.457,0.0,1.13,0.0,0.686,0.0,0.527,0.0,0.441,0.0,1.301,0.0,0.752,0.0,0.563,0.0,0.465,0.0,1.24,0.0,0.727,0.0,0.549,0.0,0.456,0.0
0.0,0.2,1.0,1.155,0.0,0.695,0.0,0.532,0.0,0.445,0.0,1.05,0.0,0.656,0.0,0.51,0.0,0.43,0.0,1.282,0.0,0.744,0.0,0.559,0.0,0.462,0.0,1.23,0.0,0.723,0.0,0.546,0.0,0.454,0.0
0.0,0.4,0.0,2.109,0.0,1.061,0.0,0.736,0.0,0.584,0.0,2.109,0.0,1.061,0.0,0.736,0.0,0.584,0.0,2.109,0.0,1.061,0.0,0.736,0.0,0.584,0.0,2.109,0.0,1.061,0.0,0.736,0.0,0.584,0.0
0.0,0.4,0.0125,2.089,0.0,1.054,0.0,0.732,0.0,0.576,0.0,1.886,0.0,0.976,0.0,0.688,0.0,0.547,0.0,2.088,0.0,1.053,0.0,0.732,0.0,0.576,0.0,1.896,0.0,0.98,0.0,0.69,0.0,0.549,0.0
0.0,0.4,0.025,2.069,0.0,1.046,0.0,0.727,0.0,0.573,0.0,1.807,0.0,0.946,0.0,0.672,0.0,0.537,0.0,2.068,0.0,1.046,0.0,0.727,0.0,0.573,0.0,1.827,0.0,0.953,0.0,0.675,0.0,0.539,0.0
0.0,0.4,0.05,2.029,0.0,1.031,0.0,0.719,0.0,0.567,0.0,1.706,0.0,0.908,0.0,0.651,0.0,0.523,0.0,2.03,0.0,1.031,0.0,0.719,0.0,0.567,0.0,1.744,0.0,0.921,0.0,0.657,0.0,0.527,0.0
0.0,0.4,0.1,1.959,0.0,1.004,0.0,0.704,0.0,0.558,0.0,1.583,0.0,0.861,0.0,0.625,0.0,0.506,0.0,1.967,0.0,1.007,0.0,0.706,0.0,0.559,0.0,1.651,0.0,0.885,0.0,0.637,0.0,0.514,0.0
0.0,0.4,0.2,1.835,0.0,0.956,0.0,0.678,0.0,0.54,0.0,1.44,0.0,0.808,0.0,0.595,0.0,0.487,0.0,1.867,0.0,0.969,0.0,0.684,0.0,0.545,0.0,1.558,0.0,0.849,0.0,0.617,0.0,0.5,0.0
0.0,0.4,0.5,1.567,0.0,0.854,0.0,0.621,0.0,0.503,0.0,1.234,0.0,0.73,0.0,0.553,0.0,0.459,0.0,1.695,0.0,0.903,0.0,0.648,0.0,0.521,0.0,1.461,0.0,0.811,0.0,0.596,0.0,0.486,0.0
0.0,0.4,1.0,1.322,0.0,0.761,0.0,0.569,0.0,0.47,0.0,1.079,0.0,0.672,0.0,0.52,0.0,0.438,0.0,1.58,0.0,0.859,0.0,0.623,0.0,0.505,0.0,1.427,0.0,0.798,0.0,0.589,0.0,0.482,0.0
0.0,0.6,0.0,4.03,0.0,1.764,0.0,1.115,0.0,0.822,0.0,4.03,0.0,1.764,0.0,1.115,0.0,0.822,0.0,4.03,0.0,1.764,0.0,1.115,0.0,0.822,0.0,4.03,0.0,1.764,0.0,1.115,0.0,0.822,0.0
0.0,0.6,0.0125,3.903,0.0,1.717,0.0,1.09,0.0,0.806,0.0,2.935,0.0,1.362,0.0,0.898,0.0,0.682,0.0,3.903,0.0,1.717,0.0,1.09,0.0,0.805,0.0,2.958,0.0,1.369,0.0,0.902,0.0,0.684,0.0
0.0,0.6,0.025,3.784,0.0,1.673,0.0,1.066,0.0,0.79,0.0,2.66,0.0,1.262,0.0,0.844,0.0,0.647,0.0,3.785,0.0,1.674,0.0,1.067,0.0,0.791,0.0,2.701,0.0,1.274,0.0,0.85,0.0,0.651,0.0
0.0,0.6,0.05,3.565,0.0,1.593,0.0,1.023,0.0,0.762,0.0,2.362,0.0,1.153,0.0,0.785,0.0,0.61,0.0,3.578,0.0,1.598,0.0,1.025,0.0,0.764,0.0,2.434,0.0,1.176,0.0,0.797,0.0,0.617,0.0
0.0,0.6,0.1,3.222,0.0,1.467,0.0,0.955,0.0,0.719,0.0,2.06,0.0,1.046,0.0,0.726,0.0,0.572,0.0,3.27,0.0,1.485,0.0,0.964,0.0,0.725,0.0,2.182,0.0,1.082,0.0,0.746,0.0,0.584,0.0
0.0,0.6,0.2,2.733,0.0,1.287,0.0,0.857,0.0,0.656,0.0,1.768,0.0,0.937,0.0,0.669,0.0,0.535,0.0,2.864,0.0,1.335,0.0,0.883,0.0,0.673,0.0,1.971,0.0,1.004,0.0,0.703,0.0,0.557,0.0
0.0,0.6,0.5,1.999,0.0,1.018,0.0,0.712,0.0,0.563,0.0,1.421,0.0,0.811,0.0,0.601,0.0,0.492,0.0,2.319,0.0,1.135,0.0,0.775,0.0,0.603,0.0,1.8,0.0,0.941,0.0,0.668,0.0,0.534,0.0
0.0,0.6,1.0,1.549,0.0,0.854,0.0,0.623,0.0,0.506,0.0,1.2,0.0,0.73,0.0,0.557,0.0,0.464,0.0,2.028,0.0,1.028,0.0,0.717,0.0,0.566,0.0,1.778,0.0,0.933,0.0,0.664,0.0,0.532,0.0
0.0,0.8,0.0,11.949,0.0,4.546,0.0,2.573,0.0,1.734,0.0,11.949,0.0,4.546,0.0,2.573,0.0,1.734,0.0,11.949,0.0,4.546,0.0,2.573,0.0,1.734,0.0,11.949,0.0,4.546,0.0,2.573,0.0,1.734,0.0
0.0,0.8,0.0125,10.27,0.0,3.957,0.0,2.265,0.0,1.542,0.0,4.57,0.0,1.96,0.0,1.221,0.0,0.889,0.0,10.286,0.0,3.963,0.0,2.268,0.0,1.544,0.0,4.613,0.0,1.972,0.0,1.226,0.0,0.892,0.0
0.0,0.8,0.025,9.032,0.0,3.523,0.0,2.038,0.0,1.4,0.0,3.834,0.0,1.702,0.0,1.086,0.0,0.805,0.0,9.088,0.0,3.543,0.0,2.048,0.0,1.406,0.0,3.905,0.0,1.723,0.0,1.096,0.0,0.81,0.0
0.0,0.8,0.05,7.324,0.0,2.925,0.0,1.725,0.0,1.204,0.0,3.212,0.0,1.485,0.0,0.973,0.0,0.734,0.0,7.473,0.0,2.976,0.0,1.752,0.0,1.221,0.0,3.33,0.0,1.521,0.0,0.99,0.0,0.744,0.0
0.0,0.8,0.1,5.535,0.0,2.297,0.0,1.397,0.0,0.999,0.0,2.7,0.0,1.307,0.0,0.88,0.0,0.676,0.0,5.825,0.0,2.399,0.0,1.45,0.0,1.032,0.0,2.899,0.0,1.368,0.0,0.91,0.0,0.694,0.0
